县,年末总人口,行政区域土地面积（平方公里）,地区生产总值（万元）,第一产业增加值（万元）,第二产业增加值（万元）,第三产业增加值（万元）,地方财政一般预算收入（万元）（2003年及之前为“地方财政预算内收入”）,地方财政一般预算支出（万元）（2003年及之前为“财政总支出”）,各项税收（万元）,城乡居民储蓄存款余额（万元）,人均地区生产总值（元/人）,规模以上工业总产值（现价）（万元）,adcode,province,city,district
宣城市宣州区,82.6,,,,,,,,,,,,341802.0,安徽省,宣城市,宣州区
砀山县,84.8,1197.0,2407673.0,380769.0,784921.0,1241983.0,122219.0,531528.0,,2410024.0,24001.0,,341321.0,安徽省,宿州市,砀山县
萧县,120.2,1854.0,3785974.0,632365.0,1625116.0,1528493.0,222385.0,808441.0,,2988871.0,27119.0,,341322.0,安徽省,宿州市,萧县
灵璧县,104.7,2124.0,2821991.0,592237.0,690455.0,1539299.0,168176.0,616715.0,,2292790.0,21862.0,,341323.0,安徽省,宿州市,灵璧县
泗县,85.4,1857.0,2619676.0,568549.0,786078.0,1265049.0,122503.0,636987.0,,1844199.0,27260.0,,341324.0,安徽省,宿州市,泗县
宿州市埇桥区,174.9,,,,,,,,,,,,341302.0,安徽省,宿州市,埇桥区
天长市,62.9,1754.0,5241495.0,360962.0,3249656.0,1630877.0,377244.0,712100.0,,2762929.0,82717.0,,341181.0,安徽省,滁州市,天长市
来安县,45.2,1499.0,3111826.0,240930.0,1536237.0,1334659.0,341550.0,458617.0,,1567244.0,63917.0,,341122.0,安徽省,滁州市,来安县
全椒县,40.7,1568.0,2674966.0,256350.0,1168686.0,1249930.0,310281.0,425906.0,,1667417.0,59109.0,,341124.0,安徽省,滁州市,全椒县
定远县,82.0,3001.0,3109976.0,630450.0,993101.0,1486425.0,195998.0,628566.0,,2029589.0,31798.0,,341125.0,安徽省,滁州市,定远县
凤阳县,68.9,1937.0,3975463.0,412990.0,1760282.0,1802191.0,341550.0,525113.0,,1911224.0,50342.0,,341126.0,安徽省,滁州市,凤阳县
明光市,55.3,2350.0,2352672.0,381810.0,690017.0,1280845.0,213436.0,418998.0,,1711498.0,36494.0,,341182.0,安徽省,滁州市,明光市
滁州市琅琊区,32.9,,,,,,,,,,,,341102.0,安徽省,滁州市,琅琊区
滁州市南谯区,26.9,,,,,,,,,,,,341103.0,安徽省,滁州市,南谯区
石台县,10.0,1413.0,279825.0,47455.0,65159.0,167211.0,30016.0,161260.0,,450857.0,25990.0,,341722.0,安徽省,池州市,石台县
青阳县,25.7,1131.0,1496655.0,126202.0,577926.0,792527.0,100189.0,231198.0,,1495034.0,48959.0,,341723.0,安徽省,池州市,青阳县
东至县,49.2,3261.0,2026784.0,315791.0,865425.0,845568.0,167881.0,339387.0,,2054368.0,36919.0,,341721.0,安徽省,池州市,东至县
池州市贵池区,63.6,,,,,,,,,,,,341702.0,安徽省,池州市,贵池区
临泉县,165.9,1839.0,3697341.0,814067.0,889436.0,1993838.0,286204.0,984746.0,,4343787.0,16069.0,,341221.0,安徽省,阜阳市,临泉县
